date,抽稀值,值
2024-05-27 23:59:56,429.470642,429.470642
2024-05-27 23:59:51,429.470642,427.35614
2024-05-27 23:59:46,429.470642,431.5427
2024-05-27 23:59:41,429.470642,432.412567
2024-05-27 23:59:36,429.470642,432.838318
2024-05-27 23:59:31,429.470642,430.2028
2024-05-27 23:59:26,429.470642,433.701263
2024-05-27 23:59:21,429.470642,433.811951
2024-05-27 23:59:16,429.470642,435.3207
2024-05-27 23:59:11,429.470642,435.756165
2024-05-27 23:59:06,429.470642,436.891663
2024-05-27 23:59:01,429.470642,434.060822
2024-05-27 23:58:56,438.1216,438.1216
2024-05-27 23:58:51,438.1216,443.097534
2024-05-27 23:58:46,438.1216,440.992859
2024-05-27 23:58:41,438.1216,436.1004
2024-05-27 23:58:36,438.1216,437.964569
2024-05-27 23:58:31,438.1216,441.9165
2024-05-27 23:58:26,438.1216,438.575256
2024-05-27 23:58:21,438.1216,439.815735
2024-05-27 23:58:16,438.1216,438.366943
2024-05-27 23:58:11,438.1216,440.455933
2024-05-27 23:58:06,438.1216,440.671661
2024-05-27 23:58:01,438.1216,441.312744
2024-05-27 23:57:56,438.371521,438.371521
2024-05-27 23:57:51,438.371521,439.778351
2024-05-27 23:57:46,438.371521,435.3026
2024-05-27 23:57:41,438.371521,436.933746
2024-05-27 23:57:36,438.371521,439.052765
2024-05-27 23:57:31,438.371521,431.805145
2024-05-27 23:57:26,438.371521,433.614929
2024-05-27 23:57:21,438.371521,439.0135
2024-05-27 23:57:16,438.371521,430.109375
2024-05-27 23:57:11,438.371521,432.225861
2024-05-27 23:57:06,438.371521,435.542267
2024-05-27 23:57:01,438.371521,430.156616
2024-05-27 23:56:56,431.290039,431.290039
2024-05-27 23:56:51,431.290039,432.348022
2024-05-27 23:56:46,431.290039,429.839417
2024-05-27 23:56:41,431.290039,429.1598
2024-05-27 23:56:36,431.290039,426.363342
2024-05-27 23:56:31,431.290039,424.0532
2024-05-27 23:56:26,431.290039,427.362274
2024-05-27 23:56:21,431.290039,428.804352
2024-05-27 23:56:16,431.290039,424.474426
2024-05-27 23:56:11,431.290039,424.746643
2024-05-27 23:56:06,431.290039,426.481323
2024-05-27 23:56:01,431.290039,421.951141
2024-05-27 23:55:56,422.408966,422.408966
2024-05-27 23:55:51,422.408966,424.7345
2024-05-27 23:55:46,422.408966,421.697449
2024-05-27 23:55:41,422.408966,425.53183
2024-05-27 23:55:36,422.408966,423.097321
2024-05-27 23:55:31,422.408966,420.285217
2024-05-27 23:55:26,422.408966,423.735535
2024-05-27 23:55:21,422.408966,420.548248
2024-05-27 23:55:16,422.408966,421.881775
2024-05-27 23:55:11,422.408966,420.55365
2024-05-27 23:55:06,422.408966,415.296936
2024-05-27 23:55:01,422.408966,419.072784
2024-05-27 23:54:56,423.335571,423.335571
2024-05-27 23:54:51,423.335571,419.998718
2024-05-27 23:54:46,423.335571,422.7538
2024-05-27 23:54:41,423.335571,425.3324
2024-05-27 23:54:36,423.335571,418.144135
2024-05-27 23:54:31,423.335571,419.8759
2024-05-27 23:54:26,423.335571,423.986237
2024-05-27 23:54:21,423.335571,428.514923
2024-05-27 23:54:16,423.335571,421.546326
2024-05-27 23:54:11,423.335571,428.085266
2024-05-27 23:54:06,423.335571,428.068573
2024-05-27 23:54:01,423.335571,424.01828
2024-05-27 23:53:56,428.0033,428.0033
2024-05-27 23:53:51,428.0033,430.7741
2024-05-27 23:53:46,428.0033,431.438843
2024-05-27 23:53:41,428.0033,432.276
2024-05-27 23:53:36,428.0033,425.941742
2024-05-27 23:53:31,428.0033,429.238129
2024-05-27 23:53:26,428.0033,433.703552
2024-05-27 23:53:21,428.0033,433.994232
2024-05-27 23:53:16,428.0033,435.9901
2024-05-27 23:53:11,428.0033,438.7195
2024-05-27 23:53:06,428.0033,439.653473
2024-05-27 23:53:01,428.0033,436.910553
2024-05-27 23:52:56,437.0832,437.0832
2024-05-27 23:52:51,437.0832,435.081757
2024-05-27 23:52:46,437.0832,433.053223
2024-05-27 23:52:41,437.0832,438.3427
2024-05-27 23:52:36,437.0832,440.0106
2024-05-27 23:52:31,437.0832,439.878479
2024-05-27 23:52:26,437.0832,440.3756
2024-05-27 23:52:21,437.0832,437.0782
2024-05-27 23:52:16,437.0832,437.942566
2024-05-27 23:52:11,437.0832,437.641418
2024-05-27 23:52:06,437.0832,438.058533
2024-05-27 23:52:01,437.0832,436.6846
2024-05-27 23:51:56,431.995026,431.995026
2024-05-27 23:51:51,431.995026,435.3519
2024-05-27 23:51:46,431.995026,439.548676
2024-05-27 23:51:41,431.995026,438.720734
2024-05-27 23:51:36,431.995026,432.331238
2024-05-27 23:51:31,431.995026,433.805939
2024-05-27 23:51:26,431.995026,437.428162
2024-05-27 23:51:21,431.995026,436.6176
2024-05-27 23:51:16,431.995026,429.640564
2024-05-27 23:51:11,431.995026,431.474945
2024-05-27 23:51:06,431.995026,433.651
2024-05-27 23:51:01,431.995026,436.048126
2024-05-27 23:50:56,434.5883,434.5883
2024-05-27 23:50:51,434.5883,431.6539
2024-05-27 23:50:46,434.5883,435.972076
2024-05-27 23:50:41,434.5883,435.231781
2024-05-27 23:50:36,434.5883,434.5027
2024-05-27 23:50:31,434.5883,429.135162
2024-05-27 23:50:26,434.5883,431.507263
2024-05-27 23:50:21,434.5883,430.126343
2024-05-27 23:50:16,434.5883,428.8376
2024-05-27 23:50:11,434.5883,428.356567
2024-05-27 23:50:06,434.5883,425.33
2024-05-27 23:50:01,434.5883,429.383118
2024-05-27 23:49:56,427.731781,427.731781
2024-05-27 23:49:51,427.731781,425.325928
2024-05-27 23:49:46,427.731781,426.552643
2024-05-27 23:49:41,427.731781,428.572052
